Brand_Name,How_Many_Sold,Current_Price_Rupees,Product_Details,Rating,Current_Price_USD
Sparx,3532,1231,Men's Running Shoes  ,4.4,15.387500000000001
Sparx,38839,637,Men's Sd0323g Sneakers  ,4.2,7.9625
Adidas,4992,1485,Men's Yking 2.0 Running Shoes  ,4.2,18.5625
Reebok,2144,1005,Men's Stride Runner Shoes  ,4.2,12.5625
ASIAN,72611,498,Men's Wonder-13 Sports Running Shoes  ,4.0,6.2250000000000005
Bourge,18747,699,Men's Loire-z1 Running Shoes  ,4.0,8.7375
Campus,5690,901,Mens Stonic Running Shoes  ,4.0,11.262500000000001
Campus,4583,1399,Mens First Running Shoe  ,4.0,17.4875
BATA,3448,799,Men's Formal Dress Slip On Shoes  ,4.0,9.9875
Sparx,1795,880,Men's Sm-677 Running Shoe  ,4.0,11.0
