Brand_Name,How_Many_Sold,Current_Price_Rupees,Product_Details,Rating,Current_Price_USD
ASIAN,2242,1098,"Oxygen-01 Sports Running,Walking & Gym Shoes with Oxygen Technology Lightweight Casual Sneaker Shoes for Men's & Boy's  ",3.8,13.725000000000001
ASIAN,240,674,"Men's Express-08 Sports Running,Walking,Gym,Training,Casual Sneaker Lace-Up Lightweight Shoes for Men's & Boy's  ",4.0,8.425
ASIAN,16662,588,"Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's  ",3.8,7.3500000000000005
ASIAN,135,599,"Wind-03 Sports Running,Walking & Gym Shoes with Eva Sole Casual Lightweight Slip-On Shoes for Men's & Boy's  ",4.0,7.487500000000001
Reebok,240,982,Men's Velocity Runner Lp Running Shoe  ,4.0,12.275
ASIAN,72611,498,Men's Wonder-13 Sports Running Shoes  ,4.0,6.2250000000000005
Generic,84,298,Men's Mesh Lace-Ups Running/Walking/Gym/Sports Fashion Shoes  ,2.4,3.725
Sparx,1795,880,Men's Sm-677 Running Shoe  ,4.0,11.0
Generic,309,439,B.R.K. Men's Denim Casual Shoe  ,3.6,5.487500000000001
Reebok,2144,1005,Men's Stride Runner Shoes  ,4.2,12.5625
Campus,12,780,Men's Harrow PRO Running Shoes  ,4.0,9.75
road runner,421,499,Men's Sneaker Shoes  ,3.2,6.237500000000001
Corstyle,7,579,Light Weight Sports Outdoors Casual Canvas Sneakers Gyming Walking Training Running Shoes for Men  ,3.4,7.237500000000001
Campus,245,702,Men's Brazil PRO Running Shoes  ,4.2,8.775
Sparx,60,1279,Men SM-661 Sports Shoes  ,3.8,15.9875
Sparx,173,1199,Men's Sm-680 Running Shoe  ,4.2,14.9875
D Shoes,1490,649,Sports Running Shoes for Men's  ,3.6,8.1125
Kraasa,6159,399,Men SocksFit Walking and Running Shoes  ,3.6,4.987500000000001
ASIAN,7712,524,"Men's Century-12 Sports Running Shoes Walking,Gym Casual Sneakers Lace-Up Lightweight Shoes for Men's & Boy's  ",3.8,6.550000000000001
Campus,4583,1399,Mens First Running Shoe  ,4.0,17.4875
Campus,706,1399,Men's Mike (N) Running Shoes  ,4.0,17.4875
Reebok,146,1282,Men's Top Speed Xtreme Running Shoes  ,3.8,16.025000000000002
Campus,1060,590,Men's Wells Running Shoes  ,4.2,7.375
ASIAN,2076,499,Plasma-08 Sports Running Shoes for Men's  ,3.6,6.237500000000001
Campus,382,722,Men's S-Cross PRO Walking Shoes  ,4.2,9.025
Campus,216,1080,Men's Tormentor Running Shoes  ,4.0,13.5
Sparx,38839,637,Men's Sd0323g Sneakers  ,4.2,7.9625
ASIAN,392,774,"Delta-20 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Lightweight Shoes for Men's & Boy's  ",4.0,9.675
Kraasa,843,532,Tesla-44 Running Shoes for Men  ,3.6,6.65
Adidas,4992,1485,Men's Yking 2.0 Running Shoes  ,4.2,18.5625
Reebok,277,1282,Men's Stride Walker Walking Shoe  ,4.0,16.025000000000002
Axter,350,231,"Men-9064 Grey Top Best Rates,Sports Shoes,Running Shoes,Trekking Shoes, Comfortable for Men's  ",3.0,2.8875
Centrino,682,759,5631 Casual-Men's Shoes  ,3.8,9.4875
Sparx,3532,1231,Men's Running Shoes  ,4.4,15.387500000000001
Sparx,1072,849,Mens Sm-648 Sports Shoes  ,4.2,10.6125
Campus,658,900,Men's Trophy Running Shoes  ,4.0,11.25
Generic,112,298,"Sports Fahion Shoes for Men, Gym, Running, Sports  ",2.8,3.725
BATA,812,799,Men's Formal Lace Up Office Wear Shoes  ,3.8,9.9875
Robbie jones,317,499,Casual Sneakers Canvas Outwear Shoes for Men in Black Red Yellow  ,2.8,6.237500000000001
Reebok,307,1282,Men's Jung 21 W Running Shoes  ,3.6,16.025000000000002
BATA,3448,799,Men's Formal Dress Slip On Shoes  ,4.0,9.9875
Campus,5690,901,Mens Stonic Running Shoes  ,4.0,11.262500000000001
BATA,1685,899,Men's Formal Shoes  ,4.0,11.2375
Bourge,18747,699,Men's Loire-z1 Running Shoes  ,4.0,8.7375
Campus,998,900,Men's Oslo PRO Running Shoes  ,4.0,11.25
Campus,165,779,Men's Bull PRO Running Shoes  ,4.2,9.7375
ASIAN,83,698,Men's Hattrick-27 Sports Shoes for Men | Running Shoes for Men Stylish Casual Sneakers for Men | Lace up Lightweight Shoes for Gym  ,3.8,8.725
Adidas,206,2159,Men's Skadi Shoes  ,4.4,26.9875
Nivia,954,855,Men Flash Badminton Shoes  ,4.0,10.6875
ASIAN,860,598,"Men's Waterproof-05 White Sports Latest Stylish Casual Sneakers,Lace up Lightweight Shoes for Running, Walking, Gym  ",3.4,7.4750000000000005
ASIAN,102,1173,"Men's INNOVA-04 Sports Running,Walking & Gym Shoes with Max Cushion Technology Casual Sneaker Shoes for Men's & Boy's  ",3.8,14.662500000000001
Adidas,116,2008,Men's Turbo Glide M Leather Running Shoe  ,4.0,25.1
Campus,198,623,Men's HARVEL PRO Running Shoes  ,4.0,7.7875000000000005
Wakefield,49,399,Stylish Running Sports Shoes for MEN-2010  ,3.4,4.987500000000001
URJO,557,839,Mens Running Shoes  ,4.2,10.4875
FEETEES,63,349,Nexon Men's Casual Eva Socks Knitted Running Shoes | Color-Light Grey  ,3.6,4.3625
FURO,2,1299,Low Ankle Running Sports Shoes for Men (O-5033)  ,3.0,16.2375
